window,phase,policy,remote,local,batch_ms,cost_units,reconfigured
86,host_contention,phase_oracle,7,2,627.4324916550598,4988.861932919936,0
87,host_contention,one_shot_stable,0,8,1495.0951666960357,7415.672026812337,0
87,host_contention,change_aware,7,2,627.2060263876979,4987.061254812735,0
87,host_contention,phase_oracle,7,2,627.2060263876979,4987.061254812735,0
88,host_contention,one_shot_stable,0,8,1527.6195031778304,7576.992735762039,0
88,host_contention,change_aware,7,2,640.8502814826581,5095.5499061842,0
88,host_contention,phase_oracle,7,2,640.8502814826581,5095.5499061842,0
89,host_contention,one_shot_stable,0,8,1515.4712479454818,7516.737389809589,0
89,host_contention,change_aware,7,2,635.7539778750003,5055.028008760972,0
89,host_contention,phase_oracle,7,2,635.7539778750003,5055.028008760972,0
90,host_contention,one_shot_stable,0,8,1514.869302888624,7513.751742327575,0
90,host_contention,change_aware,7,2,635.501456446515,5053.020152045593,0
90,host_contention,phase_oracle,7,2,635.501456446515,5053.020152045593,0
91,host_contention,one_shot_stable,0,8,1531.7183628250511,7597.323079612253,0
91,host_contention,change_aware,7,2,642.5697904004319,5109.222122234997,0
91,host_contention,phase_oracle,7,2,642.5697904004319,5109.222122234997,0
92,host_contention,one_shot_stable,0,8,1509.6011861219629,7487.621883164936,0
92,host_contention,change_aware,7,2,633.2914335279968,5035.447744885115,0
92,host_contention,phase_oracle,7,2,633.2914335279968,5035.447744885115,0
93,host_contention,one_shot_stable,0,8,1499.2751063056285,7436.404527275917,0
93,host_contention,change_aware,7,2,628.9595490874381,5001.003922369157,0
93,host_contention,phase_oracle,7,2,628.9595490874381,5001.003922369157,0
94,host_contention,one_shot_stable,0,8,1509.9413498535946,7489.309095273829,0
94,host_contention,change_aware,7,2,633.4341353085861,5036.582399992095,0
94,host_contention,phase_oracle,7,2,633.4341353085861,5036.582399992095,0
95,host_contention,one_shot_stable,0,8,1521.6921732725348,7547.593179431772,0
95,host_contention,change_aware,7,2,638.3637126542638,5075.7786180591,0
95,host_contention,phase_oracle,7,2,638.3637126542638,5075.7786180591,0
96,host_contention,one_shot_stable,0,8,1520.8888642506463,7543.608766683205,0
96,host_contention,change_aware,7,2,638.0267172102256,5073.0990887636135,0
96,host_contention,phase_oracle,7,2,638.0267172102256,5073.0990887636135,0
97,host_contention,one_shot_stable,0,8,1494.8848658480013,7414.628934606086,0
97,host_contention,change_aware,7,2,627.1178032684077,4986.359772235271,0
97,host_contention,phase_oracle,7,2,627.1178032684077,4986.359772235271,0
98,host_contention,one_shot_stable,0,8,1501.4986076864639,7447.433094124861,0
98,host_contention,change_aware,7,2,629.8923281484681,5008.420666020928,0
98,host_contention,phase_oracle,7,2,629.8923281484681,5008.420666020928,0
99,host_contention,one_shot_stable,0,8,1495.3614705751327,7416.992894052658,0
99,host_contention,change_aware,7,2,627.3177432880937,4987.949541917819,0
99,host_contention,phase_oracle,7,2,627.3177432880937,4987.949541917819,0
100,host_contention,one_shot_stable,0,8,1522.1951758969576,7550.08807244891,0
100,host_contention,change_aware,7,2,638.5747268320596,5077.456440953058,0
100,host_contention,phase_oracle,7,2,638.5747268320596,5077.456440953058,0
101,host_contention,one_shot_stable,0,8,1501.8063331942876,7448.959412643667,0
101,host_contention,change_aware,7,2,630.0214217990126,5009.447119715229,0
101,host_contention,phase_oracle,7,2,630.0214217990126,5009.447119715229,0
102,host_contention,one_shot_stable,0,8,1499.3541796029256,7436.796730830511,0
102,host_contention,change_aware,7,2,628.9927210551467,5001.267680413477,0
102,host_contention,phase_oracle,7,2,628.9927210551467,5001.267680413477,0
103,host_contention,one_shot_stable,0,8,1532.398277130483,7600.695454567195,0
103,host_contention,change_aware,7,2,642.8550206381408,5111.490054313666,0
103,host_contention,phase_oracle,7,2,642.8550206381408,5111.490054313666,0
104,host_contention,one_shot_stable,0,8,1532.0461208558852,7598.94875944519,0
104,host_contention,change_aware,7,2,642.7072878766563,5110.3153967053695,0
104,host_contention,phase_oracle,7,2,642.7072878766563,5110.3153967053695,0
105,host_contention,one_shot_stable,0,8,1511.0051592944199,7494.585590100322,0
105,host_contention,change_aware,7,2,633.8804130486769,5040.130858286271,0
105,host_contention,phase_oracle,7,2,633.8804130486769,5040.130858286271,0
106,host_contention,one_shot_stable,0,8,1530.1855420786962,7589.720288710333,0
106,host_contention,change_aware,7,2,641.92675815011,5104.109222986173,0
106,host_contention,phase_oracle,7,2,641.92675815011,5104.109222986173,0
107,host_contention,one_shot_stable,0,8,1505.860500188576,7469.068080935337,0
107,host_contention,change_aware,7,2,631.7221817422202,5022.970258300738,0
107,host_contention,phase_oracle,7,2,631.7221817422202,5022.970258300738,0
108,host_contention,one_shot_stable,0,8,1518.1206208909314,7529.87827961902,0
108,host_contention,change_aware,7,2,636.8654139324163,5063.865295818089,0
